Product Name,Rating,Price,Discount in Percent,Price Before Discount,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Graphic Processor,Storage Type,Ratings Count,Reviews Count,Brand
Apple Apple M4 - (24 GB/1 TB SSD/macOS Sequoia) MCX14HN/A,,194990,7.0,209900.0,Apple,M4,Yes,1024.0,24 GB,Unified Memory,Unknown,Unknown,SSD,0.0,0.0,Apple
Apple Apple M4 - (16 GB/1 TB SSD/macOS Sequoia) MW2V3HN/A,,176490,7.0,189900.0,Apple,M4,Yes,1024.0,16 GB,Unified Memory,Unknown,Unknown,SSD,0.0,0.0,Apple
DELL Inspiron Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5518 Thin an...,3.9,49903,45.0,90783.0,Intel,Core i5,Yes,512,16 GB,DDR4,11320H,Intel Integrated Iris Xe Graphics,SSD,25.0,5.0,DELL
Infinix X1 Slim Series Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin an...,4.0,47701,26.0,64999.0,Intel,Core i5,Yes,512,16 GB,LPDDR4X,1035G1,Intel Integrated UHD Graphics,SSD,833.0,125.0,Infinix
HP OMEN AMD Ryzen 7 Octa Core AMD R7-5800H - (16 GB/1 TB SSD/Windows 11 Home/AMD Radeon RX 6600M) 16-C...,3.8,94990,32.0,140490.0,AMD,Ryzen 7 Octa Core,Yes,1024.0,16 GB,DDR4,AMD R7-5800H,AMD Radeon RX 6600M,SSD,17.0,2.0,HP
Lenovo AMD Ryzen 3 Hexa Core 3rd Gen Ryzen 3 7320U - (8 GB/512 GB SSD/Windows 11 Home) 82VG00ERIN Lapt...,,29999,24.0,39990.0,AMD,Ryzen 3 Hexa Core,Yes,512,8 GB,LPDDR5,Ryzen 3 7320U,AMD Radeon AMD Radeon Integrated,SSD,0.0,0.0,Lenovo
DELL G15-5530 Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,3.4,94990,26.0,129999.0,Intel,Core i7,Yes,1024.0,16 GB,DDR5,13650HX,NVIDIA GeForce RTX GEFORCE RTX 3050,SSD,12.0,0.0,DELL
Acer One 14 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) Z2-493 Thin and Light Lapt...,4.0,21390,51.0,43990.0,AMD,Ryzen 3 Dual Core,Yes,512,8 GB,DDR4,3250U,AMD Radeon AMD,SSD,632.0,67.0,Acer
HP 240 G9 Intel Core i5 12th Gen i5-1235U - (8 GB/512 GB SSD/Windows 11 Pro) 240 G9 Business Laptop,,52750,37.0,84750.0,Intel,Core i5,Yes,512,8 GB,DDR4,i5-1235U,Intel Integrated Intel,SSD,0.0,0.0,HP
Lenovo IdeaPad 5 2-in-1 WUXGA IPS AMD Ryzen 5 Hexa Core 8645HS - (16 GB/512 GB SSD/Windows 11 Home) 14...,,72490,25.0,97890.0,AMD,Ryzen 5 Hexa Core,Yes,512,16 GB,LPDDR5X,8645HS,AMD Radeon 760M,SSD,0.0,0.0,Lenovo
Lenovo Legion Pro 5 Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,4.7,205290,20.0,256790.0,Intel,Core i9,Yes,1024.0,32 GB,DDR5,14900HX,NVIDIA GeForce RTX 4070,SSD,6.0,1.0,Lenovo
HP Victus 15 AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,4.3,61900,11.0,69999.0,AMD,Ryzen 5 Hexa Core,Yes,512,8 GB,DDR4,5600H,NVIDIA GeForce GTX 1650,SSD,154.0,14.0,HP
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 16IAH8 Laptop,2.3,57990,30.0,83890.0,Intel,Core i5,Yes,512,16 GB,LPDDR5,Unknown,Intel Integrated Integrated Intel® UHD Graphics,SSD,3.0,0.0,Lenovo
ASUS VivoBook 15 AMD Ryzen 3 Dual Core AMD R3-3250U - (4 GB/256 GB SSD/Windows 10 Home) M515DA-BQ312TS...,4.3,31753,26.0,42990.0,AMD,Ryzen 3 Dual Core,Yes,256,4 GB,DDR4,AMD R3-3250U,AMD Radeon,SSD,1682.0,223.0,ASUS
HP Laptop AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2213AU Thin and Light...,4.4,32110,41.0,55000.0,AMD,Ryzen 3 Quad Core,Yes,512,8 GB,DDR4,5300U,AMD Radeon AMD,SSD,115.0,14.0,HP
Avita With Free USB Charging Backpack Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home)...,3.6,31990,57.0,75980.0,Intel,Core i5,Yes,512,8 GB,DDR4,1235U,Intel Integrated Iris Xe,SSD,12.0,4.0,Avita
HP (2024) Laptop with Backlit Keyboard Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home...,,45990,22.0,59327.0,Intel,Core i5,Yes,512,8 GB,DDR4,1235U,Intel Integrated Intel® UHD Graphics,SSD,0.0,0.0,HP
Lenovo Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82RK00VWIN Thin and Light Laptop,3.9,33290,39.0,55190.0,Intel,Core i3,Yes,512,8 GB,DDR4,Unknown,Intel Integrated Integrated Intel® UHD Graphics,SSD,19.0,0.0,Lenovo
Acer ALG Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.5,51990,35.0,79990.0,Intel,Core i5,Yes,512,16 GB,DDR4,12450H,NVIDIA GeForce RTX 2050,SSD,41.0,2.0,Acer
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Lig...,4.3,30647,45.0,55990.0,Intel,Core i3,Yes,512,8 GB,DDR4,1215U,Intel Integrated Intel HD,SSD,4.0,0.0,Acer
HP 15s AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light La...,4.2,31490,21.0,39995.0,AMD,Ryzen 3 Dual Core,Yes,512,8 GB,DDR4,3250U,AMD Radeon AMD,SSD,4480.0,363.0,HP
DELL core i5 Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 / D560871WIN9B L...,3.9,47890,39.0,78533.0,Intel,Core i5,Yes,512,8 GB,DDR4,Unknown,Intel Integrated INTEL,SSD,53.0,1.0,DELL
ASUS Vivobook Go 14 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK523WS Th...,4.3,35490,43.0,62990.0,AMD,Ryzen 5 Quad Core,Yes,512,8 GB,LPDDR5,7520U,AMD Radeon AMD,SSD,48.0,2.0,ASUS
HP 15s Intel Core i5 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) 15s-FQ2071TU Thin and...,4.3,45990,22.0,59499.0,Intel,Core i5,Yes,512,8 GB,DDR4,Unknown,Intel Integrated Iris Xe,SSD,1249.0,106.0,HP
Acer Aspire 3 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) A315-24P Thin and Lig...,4.3,31800,29.0,44999.0,AMD,Ryzen 5 Quad Core,Yes,512,8 GB,LPDDR5,7520U,AMD Radeon AMD,SSD,25.0,2.0,Acer
"ASUS Vivobook 16X For Creator, Intel H-Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Window...",4.7,77500,33.0,116990.0,Intel,Core i5,Yes,512,16 GB,DDR4,12450H,NVIDIA GeForce RTX 4050,SSD,23.0,1.0,ASUS
WINGS Nuvobook Pro Aluminium Alloy Metal Body Intel Intel Core i7 11th Gen 1165G7 - (16 GB/512 GB SSD/...,4.0,46990,47.0,89999.0,Intel,Core i7,Yes,512,16 GB,DDR4,1165G7,Intel Integrated Iris Plus,SSD,119.0,22.0,WINGS
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,4.2,54990,27.0,75999.0,Intel,Core i5,Yes,512,8 GB,DDR4,12450H,NVIDIA GeForce GTX 1650,SSD,1658.0,156.0,Acer
HP 15s Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light ...,4.3,59327,7.0,64175.0,Intel,Core i5,Yes,512,16 GB,DDR4,1155G7,Intel Integrated Integrated,SSD,3912.0,276.0,HP
Lenovo Legion Pro 5 AMD Ryzen 9 16 Core 7945HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,,175990,22.0,227390.0,AMD,Ryzen 9 16 Core,Yes,1024.0,16 GB,DDR5,7945HX,NVIDIA GeForce RTX 4060,SSD,0.0,0.0,Lenovo
Lenovo IdeaPad Flex 5 AMD AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 2 in...,4.5,64990,29.0,92000.0,AMD,Ryzen 5 Hexa Core,Yes,512,16 GB,LPDDR4X,5500U,AMD Radeon AMD,SSD,2.0,1.0,Lenovo
ASUS VivoBook 15 (2021) Intel Core i3 10th Gen 1005G1 - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W ...,3.2,33990,22.0,43990.0,Intel,Core i3,No,Unknown,8 GB,DDR4,1005G1,Intel Integrated UHD,HDD,76.0,13.0,ASUS
DELL Intel Core i3 12th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 5430 Thin and Light Lap...,,61299,27.0,84416.0,Intel,Core i3,Yes,512,8 GB,DDR5,1335U,Intel Integrated UHD,SSD,0.0,0.0,DELL
HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Pro/8 GB Graphics/NVIDIA GeForce RT...,4.0,122990,15.0,146134.0,Intel,Core i7,Yes,1024.0,16 GB,DDR5,13620H,NVIDIA GeForce RTX 4060,SSD,6.0,1.0,HP
MICROSOFT Surface Pro (11th Edition) AI PC Qualcomm Snapdragon X Elite - (16 GB/1 TB SSD/Windows 11 Ho...,,180990,2.0,185999.0,Qualcomm,Snapdragon X Elite,Yes,1024.0,16 GB,LPDDR5X,Unknown,Qualcomm Snapdragon X Elite - X1E80100 - Qualcomm Adreno GPU (12 Core),SSD,0.0,0.0,MICROSOFT
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,4.3,92999,25.0,124490.0,Intel,Core i5,Yes,512,16 GB,DDR5,12450H,NVIDIA GeForce RTX 4050,SSD,315.0,40.0,Lenovo
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.6,99990,46.0,186090.0,AMD,Ryzen 7 Octa Core,Yes,1024.0,16 GB,DDR4,5800H,NVIDIA GeForce RTX 3060,SSD,20.0,0.0,Lenovo
ASUS ROG Strix G16 Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVID...,4.2,97990,22.0,125990.0,Intel,Core i5,Yes,1024.0,16 GB,DDR5,13450HX,NVIDIA GeForce RTX 3050,SSD,219.0,19.0,ASUS
ASUS Vivobook 15X Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ541WS T...,4.1,57490,29.0,80990.0,Intel,Core i5,Yes,512,16 GB,DDR4,1335U,Intel Integrated Iris Xe,SSD,171.0,10.0,ASUS
DELL Intel Core i7 11th Gen 1195G7 - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5410 2 in 1 Laptop,4.5,101999,13.0,118156.0,Intel,Core i7,Yes,512,16 GB,DDR4,1195G7,Intel Integrated Iris Xe,SSD,30.0,3.0,DELL
Lenovo IdeaPad Slim 1 AMD Ryzen 3 Dual Core 3rd Gen 3250U - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad ...,3.8,29990,44.0,54490.0,AMD,Ryzen 3 Dual Core,Yes,512,8 GB,DDR4,3250U,AMD Radeon,SSD,46.0,3.0,Lenovo
